ROUTE,DAY,DELAY
DEN-SGF,FRI,1409
DEN-SGU,FRI,1181
DEN-STL,FRI,2898
DEN-TPA,FRI,3319
DEN-ANC,FRI,833
DEN-CID,FRI,1293
DEN-PSC,FRI,1813
DEN-TUS,FRI,3152
DEN-TUL,FRI,2310
DEN-IAD,FRI,4514
DEN-ICT,FRI,1077
DEN-OKC,FRI,2688
DEN-HOU,FRI,2761
DEN-HDN,FRI,86
DEN-COD,FRI,642
DTW-CAK,FRI,915
DTW-ALB,FRI,660
DTW-APN,FRI,1139
DTW-ATW,FRI,922
DTW-ACY,FRI,217
DTW-AUS,FRI,242
DTW-GRB,FRI,1644
DTW-BWI,FRI,2638
DTW-BGR,FRI,256
DTW-LIT,FRI,483
DTW-BHM,FRI,578
DTW-LEX,FRI,719
DTW-BDL,FRI,1261
DTW-BUF,FRI,723
DTW-BTV,FRI,1221
DTW-LAN,FRI,945
DTW-BMI,FRI,129
DTW-CHS,FRI,333
DTW-CLT,FRI,3026
DTW-TVC,FRI,865
DTW-MDW,FRI,4163
DTW-ORD,FRI,9732
DTW-CIU,FRI,1133
DTW-CVG,FRI,464
DTW-CLE,FRI,774
DTW-DFW,FRI,4791
DTW-DAL,FRI,0
DTW-MSN,FRI,1329
DTW-ESC,FRI,847
DTW-DEN,FRI,5054
DTW-DSM,FRI,107
DTW-ELM,FRI,2057
DTW-OMA,FRI,1099
DTW-ERI,FRI,40
DTW-EVV,FRI,1026
DTW-FLL,FRI,3558
DTW-FWA,FRI,1722
DTW-BOS,FRI,3574
DTW-MKE,FRI,1955
DTW-PIA,FRI,619
DTW-IAH,FRI,4312
DTW-GRR,FRI,2399
DTW-BGM,FRI,544
DTW-ROC,FRI,105
DTW-GSP,FRI,189
DTW-MDT,FRI,575
DTW-ATL,FRI,6193
DTW-HSV,FRI,29
DTW-IND,FRI,1134
DTW-ITH,FRI,0
DTW-JAX,FRI,216
DTW-DAY,FRI,816
DTW-JFK,FRI,743
DTW-CMH,FRI,78
DTW-AZO,FRI,429
DTW-MCI,FRI,1648
DTW-LGA,FRI,12049
DTW-ABE,FRI,1211
DTW-LAX,FRI,3118
DTW-MSY,FRI,1623
DTW-SDF,FRI,0
DTW-CHA,FRI,1032
DTW-MBS,FRI,680
DTW-MHT,FRI,281
DTW-LAS,FRI,4617
DTW-TYS,FRI,96
DTW-MEM,FRI,263
DTW-MIA,FRI,1161
DTW-MSP,FRI,3901
DTW-MYR,FRI,758
DTW-BNA,FRI,2792
DTW-EWR,FRI,4831
DTW-ORF,FRI,868
DTW-MCO,FRI,3573
DTW-PBI,FRI,599
DTW-PLN,FRI,1168
DTW-PHL,FRI,3676
DTW-PHX,FRI,2821
DTW-GSO,FRI,820
DTW-PIT,FRI,1066
DTW-PDX,FRI,92
DTW-PWM,FRI,577
DTW-MLI,FRI,434
DTW-RDU,FRI,1188
DTW-RIC,FRI,751
DTW-DCA,FRI,2282
DTW-SLC,FRI,1181
DTW-SAT,FRI,1217
DTW-SAN,FRI,852
DTW-SFO,FRI,2551
DTW-SRQ,FRI,36
DTW-SAV,FRI,215
DTW-MQT,FRI,0
DTW-SEA,FRI,2293
DTW-SBN,FRI,3720
DTW-RSW,FRI,2075
DTW-STL,FRI,1751
DTW-SWF,FRI,0
DTW-SYR,FRI,168
DTW-TPA,FRI,2930
DTW-CID,FRI,1497
DTW-PVD,FRI,843
DTW-TTN,FRI,401
DTW-TUL,FRI,550
DTW-SCE,FRI,340
DTW-IAD,FRI,968
DTW-HPN,FRI,236
DTW-AVP,FRI,1495
DTW-OKC,FRI,463
FLL-ALB,FRI,134
FLL-LBE,FRI,344
FLL-ACY,FRI,1272
FLL-AUS,FRI,1339
FLL-BWI,FRI,5687
FLL-BDL,FRI,1747
FLL-BUF,FRI,829
FLL-CHS,FRI,35
FLL-CLT,FRI,2057
FLL-MDW,FRI,1456
FLL-ORD,FRI,4530
FLL-CVG,FRI,428
FLL-CLE,FRI,1622
FLL-DFW,FRI,4737
FLL-DAL,FRI,1914
FLL-DEN,FRI,1408
FLL-DTW,FRI,3771
FLL-BOS,FRI,3830
FLL-MKE,FRI,248
FLL-IAH,FRI,1895
FLL-ATL,FRI,8358
FLL-IND,FRI,123
FLL-JAX,FRI,1120
FLL-JFK,FRI,8907
FLL-CMH,FRI,398
FLL-MCI,FRI,123
FLL-LGA,FRI,14787
FLL-ISP,FRI,1260
FLL-LAX,FRI,3465
FLL-MSY,FRI,1286
FLL-LAS,FRI,1028
FLL-MSP,FRI,626
FLL-MYR,FRI,230
FLL-BNA,FRI,1396
FLL-EWR,FRI,6561
FLL-IAG,FRI,242
