ROUTE,DAY,DELAY
ORD-ELM (Chicago OHare International  to Elmira Corning Regional ),FRI,1036
ORD-OMA (Chicago OHare International  to Eppley Airfield),FRI,2665
ORD-ERI (Chicago OHare International  to Erie International Tom Ridge Field),FRI,668
ORD-EVV (Chicago OHare International  to Evansville Regional ),FRI,2069
ORD-FAI (Chicago OHare International  to Fairbanks International ),FRI,469
ORD-FLL (Chicago OHare International  to Fort Lauderdale Hollywood International ),FRI,4883
ORD-FWA (Chicago OHare International  to Fort Wayne International ),FRI,3065
ORD-BZN (Chicago OHare International  to Gallatin Field),FRI,292
ORD-BOS (Chicago OHare International  to General Edward Lawrence Logan International ),FRI,15859
ORD-MKE (Chicago OHare International  to General Mitchell International ),FRI,9628
ORD-PIA (Chicago OHare International  to General Wayne A. Downing Peoria International ),FRI,3055
ORD-IAH (Chicago OHare International  to George Bush Intercontinental Houston ),FRI,9740
ORD-GRR (Chicago OHare International  to Gerald R. Ford International ),FRI,5437
ORD-FCA (Chicago OHare International  to Glacier Park International ),FRI,151
ORD-GJT (Chicago OHare International  to Grand Junction Regional ),FRI,0
ORD-ROC (Chicago OHare International  to Greater Rochester International ),FRI,2039
ORD-GSP (Chicago OHare International  to Greenville Spartanburg International ),FRI,1353
ORD-MDT (Chicago OHare International  to Harrisburg International ),FRI,3846
ORD-ATL (Chicago OHare International  to Hartsfield Jackson Atlanta International ),FRI,13560
ORD-FAR (Chicago OHare International  to Hector International ),FRI,3146
ORD-CMX (Chicago OHare International  to Houghton County Memorial ),FRI,708
ORD-HSV (Chicago OHare International  to Huntsville International Carl T Jones Field),FRI,1774
ORD-IND (Chicago OHare International  to Indianapolis International ),FRI,4297
ORD-JAC (Chicago OHare International  to Jackson Hole ),FRI,995
ORD-JAN (Chicago OHare International  to Jackson-Medgar Wiley Evers International ),FRI,803
ORD-JAX (Chicago OHare International  to Jacksonville International ),FRI,1010
ORD-DAY (Chicago OHare International  to James M Cox Dayton International ),FRI,3957
ORD-FSD (Chicago OHare International  to Joe Foss Field ),FRI,3948
ORD-JFK (Chicago OHare International  to John F Kennedy International ),FRI,3888
ORD-CMH (Chicago OHare International  to John Glenn Columbus International ),FRI,7199
ORD-SNA (Chicago OHare International  to John Wayne -Orange County ),FRI,2888
ORD-OGG (Chicago OHare International  to Kahului ),FRI,397
ORD-AZO (Chicago OHare International  to Kalamazoo Battle Creek International ),FRI,1823
ORD-MCI (Chicago OHare International  to Kansas City International ),FRI,5311
ORD-LSE (Chicago OHare International  to La Crosse Municipal ),FRI,1950
ORD-LGA (Chicago OHare International  to La Guardia ),FRI,27243
ORD-ABE (Chicago OHare International  to Lehigh Valley International ),FRI,993
ORD-LNK (Chicago OHare International  to Lincoln ),FRI,1747
ORD-LAX (Chicago OHare International  to Los Angeles International ),FRI,17954
ORD-MSY (Chicago OHare International  to Louis Armstrong New Orleans International ),FRI,3643
ORD-SDF (Chicago OHare International  to Louisville International Standiford Field),FRI,1570
ORD-CHA (Chicago OHare International  to Lovell Field),FRI,832
ORD-MBS (Chicago OHare International  to MBS International ),FRI,1338
ORD-MHT (Chicago OHare International  to Manchester-Boston Regional ),FRI,818
ORD-MHK (Chicago OHare International  to Manhattan Regional ),FRI,1255
ORD-LAS (Chicago OHare International  to McCarran International ),FRI,10162
ORD-TYS (Chicago OHare International  to McGhee Tyson ),FRI,5940
ORD-MEM (Chicago OHare International  to Memphis International ),FRI,4408
ORD-OAK (Chicago OHare International  to Metropolitan Oakland International ),FRI,624
ORD-MIA (Chicago OHare International  to Miami International ),FRI,9646
ORD-MSP (Chicago OHare International  to Minneapolis-St Paul International/Wold-Chamberlain ),FRI,15967
ORD-MOB (Chicago OHare International  to Mobile Regional ),FRI,708
ORD-MTJ (Chicago OHare International  to Montrose Regional ),FRI,104
ORD-MKG (Chicago OHare International  to Muskegon County ),FRI,656
ORD-MYR (Chicago OHare International  to Myrtle Beach International ),FRI,473
ORD-BNA (Chicago OHare International  to Nashville International ),FRI,7098
ORD-EWR (Chicago OHare International  to Newark Liberty International ),FRI,11614
ORD-ORF (Chicago OHare International  to Norfolk International ),FRI,1213
ORD-SJC (Chicago OHare International  to Norman Y. Mineta San Jose International ),FRI,1292
ORD-XNA (Chicago OHare International  to Northwest Arkansas Regional ),FRI,5859
ORD-MCO (Chicago OHare International  to Orlando International ),FRI,10509
ORD-PBI (Chicago OHare International  to Palm Beach International ),FRI,688
ORD-PSP (Chicago OHare International  to Palm Springs International ),FRI,260
ORD-PNS (Chicago OHare International  to Pensacola Regional ),FRI,139
ORD-PHL (Chicago OHare International  to Philadelphia International ),FRI,12798
ORD-PHX (Chicago OHare International  to Phoenix Sky Harbor International ),FRI,7937
ORD-GSO (Chicago OHare International  to Piedmont Triad International ),FRI,288
ORD-PIT (Chicago OHare International  to Pittsburgh International ),FRI,3044
ORD-PDX (Chicago OHare International  to Portland International ),FRI,3545
ORD-PWM (Chicago OHare International  to Portland International Jetport ),FRI,644
ORD-MLI (Chicago OHare International  to Quad City International ),FRI,1978
